INSERT INTO prices (product_id, price, created_at) VALUES
(37, 2990.00, '2025-01-15'),
(38, 1690.00, '2024-09-18'),
(38, 1490.00, '2025-01-15'),
(39, 5990.00, '2024-12-28'),
(39, 4990.00, '2025-01-15'),
(40, 1990.00, '2024-10-22'),
(40, 1890.00, '2025-01-15'),
(41, 99.00, '2024-11-14'),
(41, 89.00, '2025-01-15'),
(42, 59.00, '2024-12-09'),
(42, 49.00, '2025-01-15'),
(43, 349.00, '2024-10-28'),
(43, 299.00, '2025-01-15'),
(44, 149.00, '2024-09-30'),
(44, 129.00, '2025-01-15'),
(45, 179.00, '2024-11-20'),
(45, 159.00, '2025-01-15'),
(46, 449.00, '2024-12-17'),
(46, 399.00, '2025-01-15'),
(47, 99.00, '2024-10-10'),
(47, 89.00, '2025-01-15'),
(48, 279.00, '2024-11-26'),
(48, 249.00, '2025-01-15'),
(49, 449.00, '2024-09-22'),
(49, 399.00, '2025-01-15'),
(50, 89.00, '2024-12-04'),
(50, 79.00, '2025-01-15'),
(51, 14990.00, '2024-11-11'),
(51, 12990.00, '2025-01-15'),
(52, 8990.00, '2024-10-06'),
(52, 7990.00, '2025-01-15'),
(53, 1499.00, '2024-12-19'),
(53, 1299.00, '2025-01-15'),
(54, 99.00, '2024-11-23'),
(54, 89.00, '2025-01-15'),
(55, 4490.00, '2024-09-12'),
(55, 3990.00, '2025-01-15'),
(56, 2490.00, '2024-10-29'),
(56, 1990.00, '2025-01-15'),
(57, 9990.00, '2024-12-07'),
(57, 8990.00, '2025-01-15'),
(58, 6990.00, '2024-11-03'),
(58, 5990.00, '2025-01-15'),
(59, 590.00, '2024-09-26'),
(59, 490.00, '2025-01-15'),
(60, 449.00, '2024-10-19'),
(60, 399.00, '2025-01-15'),
(61, 399.00, '2024-12-13'),
(61, 349.00, '2025-01-15'),
(62, 219.00, '2024-11-27'),
(62, 189.00, '2025-01-15'),
(63, 279.00, '2024-10-09'),
(63, 249.00, '2025-01-15'),
(64, 999.00, '2024-09-16'),
(64, 899.00, '2025-01-15'),
(65, 599.00, '2024-12-24'),
(65, 499.00, '2025-01-15'),
(66, 449.00, '2024-11-07'),
(66, 399.00, '2025-01-15'),
(67, 349.00, '2024-10-14'),
(67, 299.00, '2025-01-15'),
(68, 249.00, '2024-12-26'),
(68, 199.00, '2025-01-15'),
(69, 249.00, '2024-11-19'),
(69, 199.00, '2025-01-15'),
(70, 349.00, '2024-10-03'),
(70, 299.00, '2025-01-15'),
(71, 1490.00, '2024-09-24'),
(71, 1290.00, '2025-01-15'),
(72, 1690.00, '2024-12-11'),
(72, 1490.00, '2025-01-15'),
(73, 2290.00, '2024-11-16'),
(73, 1990.00, '2025-01-15'),
(74, 790.00, '2024-10-21'),
(74, 690.00, '2025-01-15'),
(75, 590.00, '2024-09-13'),
(75, 490.00, '2025-01-15'),
(76, 8990.00, '2024-12-02'),
(76, 7990.00, '2025-01-15'),
(77, 4490.00, '2024-11-09'),
(77, 3990.00, '2025-01-15'),
(78, 2290.00, '2024-10-24'),
(78, 1990.00, '2025-01-15'),
(79, 9990.00, '2024-12-15'),
(79, 8990.00, '2025-01-15'),
(80, 5990.00, '2024-11-04'),
(80, 4990.00, '2025-01-15'),
(81, 2990.00, '2024-09-29'),
(81, 2490.00, '2025-01-15'),
(82, 790.00, '2024-10-17'),
(82, 690.00, '2025-01-15'),
(83, 3490.00, '2024-12-23'),
(83, 2990.00, '2025-01-15'),
(84, 1690.00, '2024-11-13'),
(84, 1490.00, '2025-01-15'),
(85, 6990.00, '2024-10-07'),
(85, 5990.00, '2025-01-15'),
(86, 1490.00, '2024-09-19'),
(86, 1290.00, '2025-01-15'),
(87, 2290.00, '2024-12-27'),
(87, 1990.00, '2025-01-15'),
(88, 3490.00, '2024-11-21'),
(88, 2990.00, '2025-01-15'),
(89, 499.00, '2024-10-11'),
(89, 399.00, '2025-01-15'),
(90, 990.00, '2024-12-06'),
(90, 890.00, '2025-01-15'),
(91, 599.00, '2024-11-29'),
(91, 499.00, '2025-01-15'),
(92, 949.00, '2024-10-26'),
(92, 849.00, '2025-01-15'),
(93, 490.00, '2024-09-14'),
(93, 390.00, '2025-01-15'),
(94, 249.00, '2024-12-21'),
(94, 199.00, '2025-01-15'),
(95, 1690.00, '2024-11-06'),
(95, 1490.00, '2025-01-15'),
(96, 990.00, '2024-10-23'),
(96, 890.00, '2025-01-15'),
(97, 2090.00, '2024-12-25'),
(97, 1890.00, '2025-01-15'),
(98, 590.00, '2024-11-17'),
(98, 490.00, '2025-01-15'),
(99, 690.00, '2024-10-04'),
(99, 590.00, '2025-01-15'),
(100, 499.00, '2024-09-27'),
(100, 399.00, '2025-01-15');
